Complexity,Loss,Equation
1,0.08773651,"0.64824945"
2,0.081714995,"exp(-0.56099045)"
3,0.025415402,"x1 / 3.1403198"
4,0.0179607,"exp(x1) / 13.462751"
5,0.01154018,"x1 / (x3 + 1.4928539)"
7,0.007461992,"x1 / ((3.7426047 + x3) - x0)"
9,0.00598062,"(x1 - 0.32258117) / (x3 + (x1 / x0))"
10,0.003637192,"x1 / ((square(x3 - 1.182933) + 4.9256535) - x0)"
11,0.0025055814,"x1 / ((4.8146057 + square(exp(x3 - 2.2101629))) - x0)"
13,0.001356943,"x1 / ((4.3219695 + square(exp((x3 - 1.8086671) / x1))) - x0)"
15,0.0013569419,"square(sqrt(x1 / ((4.3219695 + square(exp((x3 - 1.8086671) / x1))) - x0)))"
17,0.0011093062,"x1 / ((4.592669 + square(exp(((x3 - (0.9818889 + 1.1112409)) / 0.6955053) / x1))) - x0)"
19,0.0010528741,"x1 / ((4.568454 + square(square(exp((x3 - (0.9687779 + 1.098145)) / (sqrt(x4) * x1))))) - x0)"
