Complexity,Loss,Equation
1,0.081714995,"0.57065177"
3,0.025415402,"0.3184145 * x1"
4,0.0179607,"0.07428247 * exp(x1)"
5,0.011540182,"x1 / (1.4928814 + x3)"
6,0.01154018,"x1 / (sqrt(2.2286127) + x3)"
7,0.007717476,"x1 / (x3 + (3.1187468 / x0))"
8,0.0077174753,"x1 / (x3 + (exp(1.1374186) / x0))"
9,0.00598062,"(-0.32258117 + x1) / (x3 + (x1 / x0))"
11,0.0037426192,"(x1 + (-0.33799037 * x3)) / (1.1356777 + (x1 / x0))"
12,0.0031585936,"(x1 + (-0.2940368 * x3)) / (sqrt(x3) + (x1 / x0))"
13,0.0025506676,"exp(0.5718181 + neg(sqrt((exp(x3) + x4) / x0) / x1))"
15,0.001896064,"((x1 + (-0.06369262 * exp(x3))) / (square(-1.2298216) + (2.7404618 / x0))) - -0.09830999"
17,0.0015359756,"exp(0.5718181 + neg(sqrt((exp(x3) + exp(square(-1.8225119 + x4))) / x0) / x1))"
18,0.0013962197,"(((x1 + (-0.06369262 * exp(x3))) / 1.0214027) / (square(sqrt(x2)) + (x1 / x0))) - -0.09830999"
