Complexity,Loss,Equation
1,1.7754723,"x1"
2,0.081714995,"neg(-0.5706497)"
3,0.025415402,"x1 / 3.1406353"
4,0.01831038,"square(x1 * 0.38208315)"
5,0.011540181,"x1 / (x3 + 1.4928806)"
7,0.007461994,"x1 / ((3.742611 - x0) + x3)"
8,0.0063986504,"x1 / ((square(x3) / x0) + 1.8746165)"
9,0.00605845,"x1 / ((1.7290986 / x0) + sqrt(exp(x3)))"
10,0.005356326,"x1 / ((square(-1.7525738) - x0) + sqrt(exp(x3)))"
11,0.0052162893,"x1 / (sqrt(exp(x3)) + sqrt(square(1.689018) - x0))"
12,0.0045867576,"x1 / (sqrt(exp(x3)) + sqrt(sqrt(square(1.658464) - x0)))"
13,0.0041490197,"x1 / (sqrt((square(1.6612558) - x0) * x3) + sqrt(exp(x3)))"
14,0.0037448008,"x1 / (sqrt(exp(x3)) + sqrt(sqrt(square(1.658464) - x0) * x3))"
15,0.002935795,"x1 / (sqrt(square(square(square(x3) / 3.848066)) - -1.9100184) + (3.663252 - x0))"
17,0.0028060137,"x1 / (sqrt(square(square(square(x3) / 3.848066)) - (1.4545804 / -0.8651638)) + (3.663252 - x0))"
19,0.0024217914,"x1 / ((sqrt(exp(square((square(x3) + -0.26494938) / (3.848066 + 0.92286414)))) * 1.2426267) + (3.663252 - x0))"
