Complexity,Loss,Equation
1,3.6312625,"x0"
2,0.0035107057,"square(0.28685847)"
3,0.0013300187,"0.16344653 / x0"
4,5.591193e-5,"exp(x0 * -1.4019457)"
5,1.9841515e-5,"(0.4010518 / x0) - 0.14221568"
6,2.4883264e-13,"sqrt(0.15915652 / exp(square(x0)))"
8,6.4531715e-17,"sqrt(exp(0.22964582 - square(x0))) * 0.35566664"
