Complexity,Loss,Equation
1,0.28899732,"-0.45203048"
2,0.0035107057,"neg(-0.08228034)"
3,0.0013300187,"0.16344653 / x0"
4,0.00019686444,"square(0.5135511 / x0)"
5,1.9841513e-5,"(0.4010628 / x0) + -0.14222205"
6,7.495582e-12,"sqrt(0.15916355 / exp(square(x0)))"
9,8.220983e-13,"square(-0.49487725) * sqrt(exp(0.9758872 - square(x0)))"
14,5.40735e-16,"((x0 / x0) - 0.42599502) * sqrt(exp(neg(0.72764313) - (x0 * x0)))"
20,1.8130028e-16,"(sqrt(x0 / x0) - 0.6010252) * sqrt(exp(neg(1.5867894 / exp(square(square(1.7408427)))) - (x0 * x0)))"
