Complexity,Loss,Equation
1,1.532382,"x1"
3,0.8675369,"x1 - 0.81547976"
5,0.49532253,"x1 - (x0 - 2.1970994)"
6,0.34209248,"x3 / square(-1.5121 + x0)"
7,0.22720411,"x3 / (x2 / (-1.1947068 + x1))"
8,0.15940307,"(x3 / (x2 / x1)) / sqrt(x0)"
9,1.0668807e-9,"x3 / (x2 / (x1 / (x0 - 0.9999826)))"
10,9.6334676e-11,"x3 / (x2 / (x1 / (x0 - square(0.9999974))))"
11,8.486554e-11,"-9.4132247e-7 + (x3 / (x2 / (x1 / (x0 - 0.99999547))))"
12,7.1774496e-11,"square(-9.4132247e-7) + (x3 / (x2 / (x1 / (x0 - 0.99999547))))"
15,1.1623058e-11,"neg(x2 * -9.4132247e-7) + (x3 / (x2 / (x1 / (x0 - sqrt(0.99999547)))))"
