Complexity,Loss,Equation
1,0.37074292,"0.4198696"
3,0.21947101,"1.1536391 / x4"
4,0.111036934,"x3 / square(x2)"
5,0.04479477,"x5 / square(square(x4))"
6,0.015981128,"square((-0.4471409 * x5) / x4)"
8,0.012850946,"square((-0.806414 * (1.5997838 - x5)) / x4)"
9,0.008579602,"square(((sqrt(x2) - x5) * -0.72453) / x4)"
10,0.0045261825,"square(((-0.6433335 * x5) + 1.1043587) / (x4 - 0.3148258))"
11,0.003043448,"square(((x5 - sqrt(x4 + x5)) * 1.1714561) / x4)"
13,0.003036406,"1.3615288 * square((x5 - sqrt(x4 + x5)) / (x4 + -0.008100257))"
15,0.0026106345,"sqrt(sqrt(x2 + 1.6943718)) * square((x5 - sqrt(x5 + x4)) / x4)"
17,0.002009069,"(x3 / square(exp(x1))) + square(((sqrt(x4 + 1.6324974) - x5) * 0.85918117) / x4)"
18,0.0014738558,"square(((x5 - sqrt(x4 + 1.61896)) * 0.85610896) / x4) + (square(x4) / exp(square(x1)))"
19,0.0011138495,"square((0.85610896 * (x5 - sqrt(x4 + 1.61896))) / x4) + ((x4 * x3) / exp(square(x1)))"
