Complexity,Loss,Equation
1,10.572847,"x2"
2,0.37074295,"exp(-0.8678054)"
3,0.21947101,"1.1535928 / x4"
4,0.111036934,"x3 / square(x2)"
5,0.04479477,"x5 / square(square(x4))"
6,0.015981127,"square((x5 * 0.44713825) / x4)"
8,0.008983665,"x3 * square((x5 / x4) / -4.4397564)"
10,0.0077099404,"square((x5 / x4) / -5.2409964) * (1.5841068 + x3)"
11,0.003043448,"square((sqrt(x4 + x5) - x5) / (x4 / 1.1714435))"
12,0.0030434476,"square((x5 - sqrt(x4 + x5)) / (x4 * neg(0.8536523)))"
13,0.003002286,"square(((sqrt(x5 + x4) - x5) * -1.1470115) / (x4 - 0.025966022))"
15,0.0029477838,"square((((x5 + -0.20370485) - sqrt(x5 + (x4 - 0.6822753))) * -1.2092761) / x4)"
17,0.0017297026,"square((sqrt(x5 + x4) - x5) / (square(square(x2 * 0.19527869)) - (x4 * 0.8682879)))"
19,0.0012595964,"square((sqrt(x4 + x5) - x5) / ((square(square(-0.1448796 * x2)) * x5) - (x4 * 0.87003416)))"
20,0.0011461425,"square((sqrt(x4 + x5) - x5) / ((square(square(square(0.17592694 * x2))) * x5) - (x4 * 0.8563253)))"
