Complexity,Loss,Equation
1,1.1680257,"1.3127774"
2,0.37074295,"square(0.64795744)"
3,0.21947098,"1.1536691 / x4"
4,0.111036934,"x3 / square(x2)"
5,0.04479477,"x5 / square(square(x4))"
6,0.015981127,"square((-0.44714528 * x5) / x4)"
8,0.0107985195,"square(-0.24489713 + ((-1.6217778 + x5) / x4))"
9,0.005052765,"exp(x5) / ((square(x4) - 0.56140244) / 0.043177154)"
10,0.003756262,"square(((-0.87594545 * (x5 + -1.4122086)) / x4) - -0.22094095)"
12,0.0037471815,"square(((-0.87594545 * (x5 + -1.4122086)) / x4) - -0.22094095) + 0.0024908327"
13,0.003117848,"square(((neg(-0.8508867) * (-1.4625914 + x5)) / x4) + (-0.54799956 / x3))"
15,0.002707121,"0.029625079 + square(((-0.82600766 * (-1.3925114 + x5)) / neg(x4)) + (-0.6142958 / x3))"
17,0.0023494377,"square(((neg(-0.8464167) * (-1.4550215 + x5)) / neg(x4)) + (0.55606437 / (square(x3) / x1)))"
18,0.0012180989,"square((-0.6308026 / x3) + ((-0.82333994 * (-1.3797686 + x5)) / neg(x4))) + (0.65887195 / exp(x1))"
20,0.0010264325,"square((-0.6308026 / x3) + ((-0.82333994 * (x5 + -1.3797686)) / neg(x4))) + sqrt(1.0606155 / exp(square(x1)))"
