Complexity,Loss,Equation
1,0.3830446,"0.30895782"
2,0.37074295,"sqrt(0.1762651)"
3,0.21947101,"1.1535448 / x4"
4,0.111036934,"x3 / square(x2)"
5,0.04479477,"x5 / square(square(x4))"
6,0.015981128,"square(x5 * (0.447136 / x4))"
8,0.010628309,"square((1.4072666 - x5) / x4) / x2"
9,0.006987937,"square((0.095052 / x4) * (square(x5) + x3))"
10,0.0037562582,"square((((1.4122462 - x5) / x4) + 0.25223106) / -1.1415619)"
11,0.003409113,"square((sqrt(1.7149569 + x4) - x5) / (-1.1462226 * x4))"
12,0.003409095,"square((sqrt(x4 + 1.715884) - x5) / (x4 * sqrt(1.3133994)))"
13,0.0031939582,"square((-0.14701016 / x4) * ((square(x5) * 0.5533265) + x3)) - 0.041675124"
15,0.0024961482,"square((0.14642337 / x4) * (((square(x5) * 0.48751324) + x4) + x3)) - 0.14642337"
17,0.002397432,"square((((square(x5) * 0.5413749) - (-0.5945397 - x4)) + x3) * (-0.13166296 / x4)) - 0.14620744"
19,0.0023169497,"square((((1.440384 - x5) / x4) + 0.25355223) / -1.1166611) + neg((0.23426154 * 0.10522969) / (x3 - x4))"
20,0.001949817,"square((((1.4005064 - x5) / x4) + 0.27550754) / -1.1269926) + (((0.20990168 * -0.033254456) / (x3 - x4)) * x3)"
