Complexity,Loss,Equation
1,588.0657,"x0"
2,67.681946,"neg(-25.994112)"
3,60.035034,"x2 + 23.044296"
4,58.932167,"sqrt(x2 / 0.005041237)"
5,41.552242,"(x3 + x2) / 0.22671585"
7,33.39507,"x4 + ((x3 + x2) / 0.2566457)"
9,20.949638,"((x1 * x2) + (x3 * x0)) - -8.254377"
10,20.949636,"((x1 * x2) + (x0 * x3)) + square(2.8730936)"
11,1.9554137e-12,"((x0 * x3) + (x1 * x4)) + (x2 * x5)"
15,1.8189894e-12,"((((x0 * x3) - x5) + (x1 * x4)) + x5) + (x2 * x5)"
17,1.4915713e-12,"(((x2 * x5) + ((x1 * x4) + ((x0 * x3) - -0.32020915))) - 0.118901365) + -0.20130745"
