Complexity,Loss,Equation
1,598.66974,"x5"
2,67.681946,"sqrt(675.6365)"
3,60.035034,"23.04472 + x2"
4,54.47466,"sqrt(236.97502 * x3)"
5,41.43706,"(x3 + x2) * 4.355027"
6,40.361725,"sqrt(120.03267 * (x2 + x3))"
7,28.50737,"((x2 + x3) + x4) * 2.97818"
9,21.080029,"((x5 + x0) * x3) + (x4 * x1)"
11,1.9372238e-12,"((x3 * x0) + (x5 * x2)) + (x4 * x1)"
12,1.8189894e-12,"(x0 * x3) + ((x4 * x1) - neg(x5 * x2))"
19,1.7371349e-12,"((1.8371853 + ((((x3 * x0) + -0.9636233) + (x5 * x2)) - 0.1780892)) + (x4 * x1)) - 0.69547206"
